800729,Niwari (NP),738,140,9
800730,Modinagar (NPP),738,140,9
800731,Faridnagar (NP),738,140,9
800732,Muradnagar (NPP),738,140,9
800733,Loni (NPP),739,140,9
800734,Ghaziabad (M Corp.),739,140,9
800735,Dasna (NP),739,140,9
800736,Pilkhuwa (NPP),740,140,9
800737,Hapur (NPP),740,140,9
800738,Babugarh (NP),740,140,9
800739,Garhmukhteshwar (NPP),741,140,9
800740,Dadri (NPP),742,141,9
800741,Bilaspur (NP),743,141,9
800742,Dankaur (NP),743,141,9
800743,Rabupura (NP),744,141,9
800744,Jahangirpur (NP),744,141,9
800745,Jewar (NP),744,141,9
800746,Sikandrabad (NPP),745,142,9
800747,Kakod (NP),745,142,9
800748,Aurangabad (NP),746,142,9
800749,Bulandshahr (NPP + OG),746,142,9
800750,Gulaothi (NPP),746,142,9
800751,Bhawan Bahadur Nagar (NP),747,142,9
800752,Siana (NPP),747,142,9
800753,Bugrasi (NP),747,142,9
800754,Khanpur (NP),747,142,9
800755,Anupshahr (NPP),748,142,9
800756,Jahangirabad (NPP),748,142,9
800757,Dibai (NPP),749,142,9
800758,Naraura (NP),749,142,9
800759,Shikarpur (NPP),750,142,9
800760,Pahasu (NP),750,142,9
800761,Chhatari (NP),750,142,9
800762,Khurja (NPP + OG),751,142,9
800763,Jatari (NP),752,143,9
800764,Khair (NPP),752,143,9
800765,Atrauli (NPP),754,143,9
800766,Chharra Rafatpur (NP),754,143,9
800767,Harduaganj (NP),755,143,9
800768,Aligarh (M Corp.),755,143,9
800769,Jalali (NP),755,143,9
800770,Kauriaganj (NP),755,143,9
800771,Pilkhana (NP),755,143,9
800772,Vijaigarh (NP),755,143,9
800773,Iglas (NP),756,143,9
800774,Beswan (NP),756,143,9
800775,Sasni (NP),757,144,9
800776,Sikandrarao (NPP),758,144,9
800777,Purdilnagar (NP),758,144,9
800778,Hasayan (NP),758,144,9
800779,Mendu (NP),759,144,9
800780,Hathras (NPP + OG),759,144,9
800781,Mursan (NP),759,144,9
800782,Sadabad (NP),760,144,9
800783,Sahpau (NP),760,144,9
800784,Kosi Kalan (NPP + OG),761,145,9
800785,Nandgaon (NP),761,145,9
800786,Barsana (NP),761,145,9
800787,Chhata (NP),761,145,9
800788,Chaumuhan (NP),761,145,9
800789,Bajna (NP),762,145,9
800790,Raya (NP),763,145,9
800791,Gokul (NP),763,145,9
800792,Mahaban (NP),763,145,9
800793,Baldeo (NP),763,145,9
800794,Farah (NP),764,145,9
800795,Vrindavan (NPP),764,145,9
800796,Radhakund (NP),764,145,9
800797,Govardhan (NP),764,145,9
800798,Saunkh (NP),764,145,9
800799,Mathura (NPP),764,145,9
800800,Mathura (CB),764,145,9
800801,Etmadpur (NPP),765,146,9
800802,Dayalbagh (NP),766,146,9
800803,Swamibagh (NP),766,146,9
800804,Agra (M Corp.),766,146,9
800805,Agra (CB),766,146,9
800806,Achhnera (NPP),767,146,9
800807,Kiraoali (NP),767,146,9
800808,Fatehpur Sikri (NPP),767,146,9
800809,Jagner (NP),768,146,9
800810,Kheragarh (NP),768,146,9
800811,Shamsabad (NPP),769,146,9
800812,Fatehabad (NP),769,146,9
800813,Pinahat (NP),770,146,9
800814,Bah (NPP),770,146,9
800815,Tundla (NPP),771,147,9
800816,Firozabad (NPP),772,147,9
800817,Fariha (NP),773,147,9
800818,Jasrana (NP),773,147,9
800819,Shikohabad (NPP),774,147,9
800820,Sirsaganj (NPP + OG),774,147,9
800821,Kuraoali (NP),775,148,9
800822,Jyoti Khuriya (NP),775,148,9
800823,Ghiraur (NP),775,148,9
800824,Mainpuri (NPP + OG),775,148,9
800825,Karhal (NP),776,148,9
800826,Bhogaon (NP),777,148,9
800827,Bewar (NP),777,148,9
800828,Kusmara (NP),777,148,9
800829,Kishni (NP),777,148,9
800830,Gawan (NP),778,149,9
800831,Babrala (NP),778,149,9
800832,Gunnaur (NP),778,149,9
800833,Islamnagar (NP),779,149,9
800834,Faizganj (NP),779,149,9
800835,Mundiya (NP),779,149,9
800836,Bisauli (NPP),779,149,9
800837,Saidpur (NP),779,149,9
800838,Wazirganj (NP),779,149,9
800839,Rudayan (NP),780,149,9
800840,Bilsi (NPP),780,149,9
800841,Sahaswan (NPP),781,149,9
800842,Kachhla (NP),782,149,9
800843,Ujhani (NPP),782,149,9
800844,Budaun (NPP),782,149,9
800845,Kunwargaon (NP),782,149,9
800846,Gulariya (NP),782,149,9
800847,Sakhanu (NP),782,149,9
800848,Kakrala (NPP),783,149,9
800849,Allapur (NP),783,149,9
800850,Dataganj (NP),783,149,9
800851,Usawan (NP),783,149,9
800852,Usehat (NP),783,149,9
800853,Baheri (NPP),784,150,9
